YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
1999,25,225632,2683,Craigslist
2004,20,85945,7900,CarGurus
2019,5,79868,20540,CarGurus
2003,21,133000,5500,Craigslist
2007,17,188496,5788,Autotrader
1993,31,180000,3900,Craigslist
2009,15,141000,7400,Craigslist
2014,10,54390,16999,Autotrader
1989,35,170000,3200,Craigslist
2012,12,108973,9998,CarGurus
1992,32,139000,2900,Craigslist
2011,13,69000,9500,Autotrader
1994,30,185000,2500,Craigslist
2015,9,133958,12495,Autotrader
2008,16,90200,7950,CarGurus
1997,27,190000,4840,Craigslist
2005,19,164052,5988,Autotrader
2001,23,324841,3225,Craigslist
2021,3,34466,23961,Autotrader
2002,22,145000,4658,Craigslist
1995,29,169000,3300,Craigslist
2022,2,22414,22983,CarGurus
1998,26,83000,5100,Craigslist
2023,1,9956,29984,Autotrader
