Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/22/24,Monday,2.05,Bus Fare,Travel,Cash,Need
1/23/24,Tuesday,2.05,Bus Fare,Travel,Cash,Need
1/24/24,Wednesday,2.05,Bus Fare,Travel,Cash,Need
1/24/24,Wednesday,14.00,Fast-Food,Food,Cash,Want
1/25/24,Thursday,2.05,Bus Fare,Travel,Cash,Need
1/26/24,Friday,2.05,Bus Fare,Travel,Cash,Need
1/27/24,Saturday,13.00,Laundry,Housing,Cash,Need
1/27/24,Saturday,25.00,Seat covers,Travel,Cash,Want
1/27/24,Saturday,12.00,Dunkin' Dounts,Food,Credit,Need
1/28/24,Sunday,76.50,Sizzler,Food,Credit,Want
1/29/24,Monday,300.00,,Financial goals and Savings,Debit,Savings
1/30/24,Tuesday,2.05,Bus Fare,Travel,Cash,Need
1/31/24,Wednesday,2.05,Bus Fare,Travel,Cash,Need
2/1/24,Thursday,6.00,Snacks,Food,Debit,Want
2/1/24,Thursday,2.05,Bus Fare,Travel,Cash,Need
2/2/24,Friday,2.05,Bus Fare,Travel,Cash,Need
2/2/24,Friday,14.75,Burger King,Food,Debit,Want
2/3/24,Saturday,13.00,Laundry,Housing,Cash,Need
2/4/24,Sunday,85.00,Groceries,Food,Debit,Want
2/5/24,Monday,2.05,Bus Fare,Travel,Cash,Need
2/6/24,Tuesday,2.05,Bus Fare,Travel,Cash,Need
2/7/24,Wednesday,2.05,Bus Fare,Travel,Cash,Need
2/7/24,Wednesday,2.59,Cotton Balls,Housing,Debit,Want
2/7/24,Wednesday,8.79,Hersey Bars,Food,Debit,Want
2/7/24,Wednesday,32.46,Mini Cinnamons,Food,Debit,Want
2/7/24,Wednesday,3.25,Quick Laundry,Housing,Cash,Need
